id,name,team,pastTeams,role,battingHand,jerseyNo,debutYear,auctionPrice,matches,playerLink
24,Nuwan Thushara,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/nuwan-thushara-955235
25,Yash Dayal,RCB,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/yash-dayal-1159720
1,Ishan Kishan,SRH,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/ishan-kishan-720471
2,Salil Arora,SRH,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/salil-arora-1199281
3,Travis Head,SRH,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/travis-head-530011
4,Heinrich Klaasen,SRH,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
5,Ravichandran Smaran,SRH,,Batter,Left,,,,,https://www.espncricinfo.com/cricketers/ravichandran-smaran-1327722
6,Aniket Verma,SRH,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/aniket-verma-1409976
7,Abhishek Sharma,SRH,,Batting Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
8,Brydon Carse,SRH,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/brydon-carse-596417
9,Harsh Dubey,SRH,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/harsh-dubey-1216159
10,Krains Fuletra,SRH,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/krains-fuletra-1467631
11,Liam Livingstone,SRH,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
12,Kamindu Mendis,SRH,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/kamindu-mendis-784373
13,Nitish Kumar Reddy,SRH,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/nitish-kumar-reddy-1175496
14,Harshal Patel,SRH,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/harshal-patel-390481
15,Shivam Mavi,SRH,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848
16,Shivang Kumar,SRH,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/shivang-kumar-1512089
17,Jack Edwards,SRH,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/jack-edwards-1088610
18,Amit Kumar,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/amit-kumar-1512257
19,Pat Cummins,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/pat-cummins-489889
20,Praful Hinge,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/praful-hinge-1216167
21,Eshan Malinga,SRH,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/eshan-malinga-1306214
22,David Payne,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/david-payne-362710
23,Sakib Hussain,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/sakib-hussain-1340422
24,Onkar Tarmale,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/onkar-tarmale-1515304
25,Jaydev Unadkat,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
26,Zeeshan Ansari,SRH,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/zeeshan-ansari-942371
