name,team,playerLink
Mohammed Siraj,GT,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973
Prasidh Krishna,GT,https://www.espncricinfo.com/cricketers/prasidh-krishna-917159
Kagiso Rabada,GT,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
Sai Kishore,GT,https://www.espncricinfo.com/cricketers/sai-kishore-1048739
Ishant Sharma,GT,https://www.espncricinfo.com/cricketers/ishant-sharma-236779
Luke Wood,GT,https://www.espncricinfo.com/cricketers/luke-wood-573170
Jayant Yadav,GT,https://www.espncricinfo.com/cricketers/jayant-yadav-447587
Prithvi Raj,GT,https://www.espncricinfo.com/cricketers/prithvi-raj-1121579
Ajinkya Rahane,KKR,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916
Rinku Singh,KKR,https://www.espncricinfo.com/cricketers/rinku-singh-723105
Finn Allen,KKR,https://www.espncricinfo.com/cricketers/finn-allen-959759
Tejasvi Dahiya,KKR,https://www.espncricinfo.com/cricketers/tejasvi-dahiya-1460372
Manish Pandey,KKR,https://www.espncricinfo.com/cricketers/manish-pandey-290630
Rovman Powell,KKR,https://www.espncricinfo.com/cricketers/rovman-powell-820351
Angkrish Raghuvanshi,KKR,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495
Ramandeep Singh,KKR,https://www.espncricinfo.com/cricketers/ramandeep-singh-1079470
Sarthak Ranjan,KKR,https://www.espncricinfo.com/cricketers/sarthak-ranjan-956405
Tim Seifert,KKR,https://www.espncricinfo.com/cricketers/tim-seifert-625964
Luvnith Sisodia,KKR,https://www.espncricinfo.com/cricketers/luvnith-sisodia-1155253
Rahul Tripathi,KKR,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763
Daksh Kamra,KKR,https://www.espncricinfo.com/cricketers/daksh-kamra-1515048
Cameron Green,KKR,https://www.espncricinfo.com/cricketers/cameron-green-1076713
Sunil Narine,KKR,https://www.espncricinfo.com/cricketers/sunil-narine-230558
Anukul Roy,KKR,https://www.espncricinfo.com/cricketers/anukul-roy-1079839
Rachin Ravindra,KKR,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767
Vaibhav Arora,KKR,https://www.espncricinfo.com/cricketers/vaibhav-arora-1209292
Saurabh Dubey,KKR,https://www.espncricinfo.com/cricketers/saurabh-dubey-1206492
Kartik Tyagi,KKR,https://www.espncricinfo.com/cricketers/kartik-tyagi-1122918
Blessing Muzarabani,KKR,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051
Navdeep Saini,KKR,https://www.espncricinfo.com/cricketers/navdeep-saini-700167
Prashant Solanki,KKR,https://www.espncricinfo.com/cricketers/prashant-solanki-1252337
Umran Malik,KKR,https://www.espncricinfo.com/cricketers/umran-malik-1246528
Varun Chakravarthy,KKR,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375
Akash Deep,KKR,https://www.espncricinfo.com/cricketers/akash-deep-1176959
Harshit Rana,KKR,https://www.espncricinfo.com/cricketers/harshit-rana-1312645
Mustafizur Rahman,KKR,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
Matheesha Pathirana,KKR,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795
Rishabh Pant,LSG,https://www.espncricinfo.com/cricketers/rishabh-pant-931581
Abdul Samad,LSG,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
Akshat Raghuwanshi,LSG,https://www.espncricinfo.com/cricketers/akshat-raghuwanshi-1300795
Ayush Badoni,LSG,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
Matthew Breetzke,LSG,https://www.espncricinfo.com/cricketers/matthew-breetzke-595267
Mukul Choudhary,LSG,https://www.espncricinfo.com/cricketers/mukul-choudhary-1354217
Himmat Singh,LSG,https://www.espncricinfo.com/cricketers/himmat-singh-805235
Josh Inglis,LSG,https://www.espncricinfo.com/cricketers/josh-inglis-662235
Aiden Markram,LSG,https://www.espncricinfo.com/cricketers/aiden-markram-600498
Nicholas Pooran,LSG,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302
Arshin Kulkarni,LSG,https://www.espncricinfo.com/cricketers/arshin-kulkarni-1403153
George Linde,LSG,https://www.espncricinfo.com/cricketers/george-linde-481875
Mitchell Marsh,LSG,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
Shahbaz Ahmed,LSG,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711
Wanindu Hasaranga,LSG,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
Akash Singh,LSG,https://www.espncricinfo.com/cricketers/akash-singh-1175458
Avesh Khan,LSG,https://www.espncricinfo.com/cricketers/avesh-khan-694211
Mohammed Shami,LSG,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
Mohsin Khan,LSG,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005
Anrich Nortje,LSG,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
Prince Yadav,LSG,https://www.espncricinfo.com/cricketers/prince-yadav-1350768
Digvesh Rathi,LSG,https://www.espncricinfo.com/cricketers/digvesh-rathi-1460529
Manimaran Siddharth,LSG,https://www.espncricinfo.com/cricketers/manimaran-siddharth-1151286
